filename	card	card_theme	category	prompt
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow	not listening to your inner voice 
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow	fearing or doubting the future 
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow	remaining psychologically stuck 
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow	having a blind naiveté (immaturity or foolishness) which allows others to take advantage of you
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow	refusing to try the new 
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow	lacking playfulness (being too solemn)
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow	rigidity 
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow Gifts	having an openness to divine guidance based on trust 
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow Gifts	being willing to take a leap of faith into the unknown 
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow Gifts	having a belief that the universe will provide you with what you 
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow Gifts	need at the time you need it 
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow Gifts	psychological growth 
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow Gifts	having spontaneity and a sense of playfulness 
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow Gifts	listening to your inner child 
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow Gifts	willing to take risks and try something new without knowing the 
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow Gifts	outcome because you trust the process 
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow Gifts	abandoning old ways of thinking 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow	not applying your energy and efforts in the right direction  
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow	being scattered  
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow	lacking focus and not focusing on the real issue 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow	pessimism 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow	using trickery or deceit to accomplish goals 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow	indirectness 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow	abusing power for selfish gain 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow	starting many projects and not being able to complete them due to lack of motivation 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow	at the worst, the shadow of the Magician is dishonest about motives and can be destructive in relationships 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow Gifts	being able to prioritize and make a choice 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow Gifts	taking action on your own behalf, rather than simply wishing for change or success 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow Gifts	knowing there is always more to a situation than meets the eye 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow Gifts	being able to focus your energy effectively to accomplish your goals 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow Gifts	creating order out of chaos 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow Gifts	being able to make your own reality by using a surge of creative energy 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow Gifts	the ability to visualize your goals clearly 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow Gifts	being aware of the inner guide 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow Gifts	seeing your own potential and being able to visualize the work required to manifest it 
